word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange
biochemistry,.baiәu'kemistri,n. the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry,n. 生物化学\n[化] 生物化学; 生化,,1,,gk toefl,16248,17884,s:biochemistries
biography,bai'ɒgrәfi,n. an account of the series of events making up a person's life,n. 传记,,2,,gk ky toefl ielts,5647,4875,s:biographies
biology,bai'ɒlәdʒi,n. the science that studies living organisms\nn. characteristic life processes and phenomena of living organisms,n. 生物学\n[化] 生物; 生物学,,2,1,gk cet4 ky ielts,5388,4226,
bird,bә:d,n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings\nn. the flesh of a bird or fowl (wild or domestic) used as food\nv. watch and study birds in their natural habitat,"n. 鸟, 羽毛球\nvi. 打鸟",,4,1,zk gk,1072,1122,s:birds/i:birding/p:birded/3:birds/d:birded
birdcage,'bә:dkeidʒ,n. a cage in which a bird can be kept,n. 鸟笼,,,,gk,44688,32730,s:birdcages
birth,bә:θ,n. the time when something begins (especially life)\nn. the event of being born\nn. a baby born; an offspring,"n. 出生, 起源\n[医] 生产, 分娩",,3,1,zk gk cet4 ky ielts,1590,1499,s:births/i:birthing/p:birthed/3:births/d:birthed
birthday,'bә:θdei,n. an anniversary of the day on which a person was born (or the celebration of it)\nn. the date on which a person was born,n. 生日,,3,1,zk gk,2488,2433,s:birthdays
birthplace,'bә:θpleis,n. the place where someone was born\nn. where something originated or was nurtured in its early existence,n. 诞生地,,1,,gk,11609,11526,s:birthplaces
biscuit,'biskit,n. small round bread leavened with baking-powder or soda,n. 饼干\n[化] 素坯; 饼干,,2,1,zk gk cet4 ky,4203,8068,s:biscuits
bishop,'biʃәp,n. a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ\nn. port wine mulled with oranges and cloves\nn. (chess) a piece that can be moved diagonally over unoccupied squares of the same color,"n. 主教, (国际象棋中的)象, 热果子酒",,,,gk cet6,2221,3437,s:bishops
bit,bit,n. a small fragment of something broken off from the whole\nn. piece of metal held in horse's mouth by reins and used to control the horse while riding\nn. a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states\nn. the part of a key that enters a lock and lifts the tumblers,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",,5,1,zk gk gre,585,952,s:bits/0:bite/1:pd
bite,bait,n. a wound resulting from biting by an animal or a person\nn. a light informal meal\nn. (angling) an instance of a fish taking the bait\nn. the act of gripping or chewing off with the teeth and jaws,"n. 咬, 一口\nv. 咬, 刺痛, 穿透",,5,1,gk cet4 ky toefl ielts,3294,3153,p:bit/i:biting/s:bites/3:bites/d:bit
bitter,'bitә,n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)\nn. the taste experience when quinine or coffee is taken into the mouth\nv. make bitter\ns. very difficult to accept or bear,"a. 苦的, 痛苦的, 怀恨的\nadv. 刺骨\nv. (使)变苦",,3,1,zk gk cet4 ky toefl ielts,3095,3580,s:bitters/i:bittering/p:bittered/3:bitters/d:bittered
black,blæk,n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)\nn. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)\nn. popular child actress of the 1930's (born in 1928)\nn. a person with dark skin who comes from Africa (or whose ancestors came from Africa),"n. 黑色, 黑颜料\na. 黑色的",,5,1,zk gk ielts,426,253,s:blacks/p:blacked/r:blacker/t:blackest/d:blacked/i:blacking/3:blacks
blackboard,'blækbɒ:d,n. sheet of slate; for writing with chalk,n. 黑板,,1,,zk gk,11944,13322,s:blackboards
blame,bleim,n. a reproach for some lapse or misdeed\nv. put or pin the blame on\nv. harass with constant criticism\nv. attribute responsibility to,"n. 过失, 责备\nvt. 责备, 归咎于",,4,1,gk cet4 cet6 ky toefl ielts,2043,1797,d:blamed/p:blamed/i:blaming/3:blames
blank,blæŋk,n. a piece of material ready to be made into something\nn. a cartridge containing an explosive charge but no bullet\nv. keep the opposing (baseball) team from winning\ns. (of a surface) not written or printed on,"n. 空格, 空白\na. 空白的, 空虚的, 完全的, 无色的\nvi. 消失, 成为空白\nvt. 使无效, 取消, 封锁\n[计] 空白",,2,1,gk cet4 ky ielts,4310,4578,s:blanks/p:blanked/d:blanked/i:blanking/r:blanker/3:blanks
blanket,'blæŋkit,n. bedding that keeps a person warm in bed\nn. anything that covers\nn. a layer of lead surrounding the highly reactive core of a nuclear reactor\nv. cover as if with a blanket,"n. 毛毯, 毯子\nvt. 掩盖, 覆盖\na. 总共的",,2,,gk cet4 ky toefl ielts,3938,3306,s:blankets/d:blanketed/p:blanketed/i:blanketing/3:blankets
bleed,bli:d,v. draw blood\nv. get or extort (money or other possessions) from someone\nv. drain of liquid or steam,"vi. 流血, 悲痛, 渗出\nvt. 使出血, 榨取",,2,,gk cet4 cet6 ky toefl ielts,6460,5218,i:bleeding/3:bleeds/d:bled/p:bled
bless,bles,v. give a benediction to\nv. confer prosperity or happiness on\nv. make the sign of the cross over someone in order to call on God for protection; consecrate,"vt. 祝福, 祈佑, 使神圣化",,2,,gk cet4 cet6 ky ielts,5280,4161,d:blessed/p:blessed/i:blessing/3:blesses
blind,blaind,"n. people who have severe visual impairments, considered as a group\nn. a hiding place sometimes used by hunters (especially duck hunters)\nn. a protective covering that keeps things out or hinders sight\nv. render unable to see","n. 蒙蔽物, 窗帘\na. 盲目的, 瞎的, 不加思考的\nvt. 使失明, 蒙蔽, 遮暗\nadv. 盲目地",,3,1,zk gk cet4 cet6 ky ielts,2926,2716,s:blinds/d:blinded/p:blinded/r:blinder/i:blinding/3:blinds
block,blɒk,n. a solid piece of something (usually having flat rectangular sides)\nn. a rectangular area in a city surrounded by streets and usually containing several buildings\nn. a three-dimensional shape with six square or rectangular sides\nn. a number or quantity of related things dealt with as a unit,"n. 街区, 木块, 石块, 块\nvt. 阻塞, 封锁, 使成块状\n[计] 块, 数据块",,4,1,gk toefl ielts,1641,1314,s:blocks/d:blocked/i:blocking/p:blocked/3:blocks
blood,blʌd,"n. the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets\nn. temperament or disposition\nn. people viewed as members of a group\nv. smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill","n. 血, 血统, 流血, 气质, 生命\nvt. 使出血, 用血涂",,4,1,zk gk cet4 ky ielts,980,692,s:bloods/d:blooded/i:blooding/p:blooded/3:bloods
blouse,blauz,n. a top worn by women,n. 宽松的上衣,,1,,gk cet6 ky ielts,8160,6586,s:blouses/p:bloused/i:blousing
blow,blәu,n. a powerful stroke with the fist or a weapon\nn. an impact (as from a collision)\nn. forceful exhalation through the nose or mouth\nv. exhale hard,"n. 吹, 打击, 殴打, 花开\nv. 吹, 风吹, 吹响, 开花",,3,1,zk gk toefl,1822,1414,p:blew/d:blown/i:blowing/s:blows/3:blows
blue,blu:,n. blue color or pigment; resembling the color of the clear sky in the daytime\nn. blue clothing\nn. any organization or party whose uniforms or badges are blue\nn. any of numerous small butterflies of the family Lycaenidae,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",,5,1,gk gre,1083,842,s:blues/i:bluing/p:blued/3:blues/d:blued
board,bɒ:d,n. a committee having supervisory powers\nn. a stout length of sawn timber; made in a wide variety of sizes and used for many purposes\nn. a flat piece of material designed for a special purpose\nn. food or meals in general,"n. 木板, 甲板, 膳食, 会议桌\nvt. 乘船, 供膳食, 用板覆盖\nvi. 搭伙\n[计] 板",,4,1,zk gk cet4 cet6 ky toefl ielts,611,667,s:boards/p:boarded/d:boarded/i:boarding/3:boards
boat,bәut,n. a small vessel for travel on water\nv. ride in a boat on water,n. 船\nvi. 乘船\nvt. 以船运,,4,1,zk gk ielts,1303,1231,s:boats/i:boating/p:boated/3:boats/d:boated
boating,'bәutiŋ,n. water travel for pleasure,n. 划船,,1,,gk,21636,15104,0:boat/1:i/i:boating
boil,bɒil,"n. a painful sore with a hard core filled with pus\nv. come to the boiling point and change from a liquid to vapor\nv. immerse or be immersed in a boiling liquid, often for cooking purposes\nv. bring to, or maintain at, the boiling point","n. 煮沸, 沸腾, 疖\nv. 煮沸, 激动",,3,1,gk cet4 ky toefl ielts,4944,4258,i:boiling/d:boiled/3:boils/p:boiled/s:boils
bomb,bɒm,n. an explosive device fused to explode under specific conditions,"n. 炸弹\nvt. 轰炸, 投弹于\nvi. 失败",,4,1,gk cet4 cet6 ky,2266,1992,s:bombs/d:bombed/i:bombing/p:bombed/3:bombs
bond,bɒnd,n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal\nn. a superior quality of strong durable white writing paper; originally made for printing documents\nn. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)\nn. British secret operative 007 in novels by Ian Fleming,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留\nvt. 存入关栈, 使黏合\nvi. 结合",,4,,gk cet4 cet6 ky toefl ielts,2385,1880,s:bonds/d:bonded/p:bonded/3:bonds/i:bonding
bone,bәun,n. rigid connective tissue that makes up the skeleton of vertebrates\nn. the porous calcified substance from which bones are made\nn. a shade of white the color of bleached bones\nv. remove the bones from,"n. 骨头, 骨, 骨制品\nvt. 剔骨\nvi. 专心致志",,3,1,gk cet4 ky,1934,1443,s:bones/i:boning/p:boned/3:bones/d:boned
bonus,'bәunәs,n. anything that tends to arouse\nn. an additional payment (or other remuneration) to employees as a means of increasing output,"n. 奖金, 红利\n[经] 奖金, 红利, 额外补贴",,2,,gk cet6 ky toefl ielts,3780,4172,s:bonuses
book,buk,n. a written work or composition that has been published (printed on pages bound together)\nn. physical objects consisting of a number of pages bound together\nn. a collection of playing cards satisfying the rules of a card game\nn. a collection of rules or prescribed standards on the basis of which decisions are made,"n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿",,5,1,zk gk ielts,235,241,s:books/d:booked/p:booked/i:booking/3:books
bookcase,'bukkeis,n. a piece of furniture with shelves for storing books,"n. 书架, 书柜",,1,,gk ielts,15277,12527,s:bookcases
bookmark,'bukmɑ:k,n. a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place,n. 书签\n[计] 书签,,,,gk,27606,20965,s:bookmarks
bookshelf,'bukʃelf,n. a shelf on which to keep books,n. 书架,,1,,gk ielts,22136,11170,
bookshop,'bukʃɒp,n. a shop where books are sold,n. 书店,,1,,gk ielts,6589,21128,s:bookshops
bookstore,'bukstɒ:,n a shop where books are sold,n. 书店,,1,,gk,33117,6186,s:bookstores
boom,bu:m,n. a deep prolonged loud noise\nn. a state of economic prosperity\nn. a sudden happening that brings good fortune (as a sudden opportunity to make money)\nn. a pole carrying an overhead microphone projected over a film or tv set,"n. 繁荣, 隆隆声\nvi. 急速发展, 发隆隆声\nvt. 使兴旺, 发隆隆声",,3,,gk ky toefl ielts gre,3920,3171,p:boomed/s:booms/i:booming/d:boomed/3:booms
boot,bu:t,n. footwear that covers the whole foot and lower leg\nn. British term for the luggage compartment in a car\nn. protective casing for something that resembles a leg\nn. an instrument of torture that is used to heat or crush the foot and leg,"n. 长靴, 踢, 解雇, 效用\nvt. 使穿靴, 踢, 解雇, 有用\n[计] 引导, 自举",,3,1,gk cet4 ky ielts,2176,2347,s:boots/d:booted/p:booted/i:booting/3:boots
booth,bu:θ,n. a table (in a restaurant or bar) surrounded by two high-backed benches\nn. small area set off by walls for special use\nn. United States actor and assassin of President Lincoln (1838-1865)\nn. a small shop at a fair; for selling goods or entertainment,"n. 亭, 摊棚\n[经] 货摊, 电话间",,1,,gk cet4 cet6 ky ielts,9834,4300,s:booths
border,'bɒ:dә,n. a strip forming the outer edge of something\nv. provide with a border or edge\nv. lie adjacent to another or share a boundary,"n. 边缘, 边境, 边界, 花坛\nvt. 在...上镶边, 接近\nvi. 接界, 近似\n[计] 边框",,4,1,gk cet4 ky toefl ielts,1789,1344,s:borders/i:bordering/d:bordered/p:bordered/3:borders
bored,,s. tired of the world,a. 无聊的；烦人的；无趣的,,2,1,gk,4569,5873,d:bored/0:bored/1:dp/p:bored
boring,'bɒ:riŋ,n. the act of drilling a hole in the earth in the hope of producing petroleum\ns. so lacking in interest as to cause mental weariness,"a. 烦人的, 无聊的, 无趣的\n[机] 成孔期, 搪孔",,2,1,zk gk toefl gre,4124,4915,i:boring/0:boring/1:i/s:borings
born,bɒ:n,n. British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)\na. brought into existence,a. 天生的\nbear的过去分词,,4,,zk gk cet4 ky,1206,1088,0:bear/1:d/d:born/p:born/i:borning
borrow,'bɒrәu,v. get temporarily,"vt. 借, 借入, 借用\nvi. 借\n[计] 借位; 借位数",,3,1,zk gk,2639,3214,d:borrowed/p:borrowed/i:borrowing/3:borrows
boss,bɒs,n. a person responsible for hiring workers\nn. a person who exercises control and makes decisions\ns. exceptionally good,"n. 老板, 上司, 岩瘤, 浮雕, 母牛\nvt. 指挥, 控制, 浮雕",,4,1,zk gk cet4 ky,2227,2324,s:bosses/i:bossing/p:bossed/3:bosses/d:bossed
botanical,bә'tænikәl,n. a drug made from part of a plant (as the bark or root or leaves),a. 植物学的\nn. 植物性药材,,1,,gk toefl,12570,10006,s:botanicals
botany,'bɒtәni,n. the branch of biology that studies plants,n. 植物学\n[医] 植物学,,1,,gk toefl gre,15909,20491,
both,bәuθ,s. (used with count nouns) two considered together; the two,a. 两者的\nadv. 两者都\npron. 两者,,5,1,zk gk,229,255,
bottle,'bɒtl,n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped\nn. the quantity contained in a bottle\nn. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children\nv. store (liquids or gases) in bottles,"n. 瓶子, 酒瓶\nvt. 装瓶, 抑制, 围困",,4,1,zk gk,1584,1740,s:bottles/d:bottled/p:bottled/i:bottling/3:bottles
bottom,'bɒtәm,n. the lower side of anything\nn. the lowest part of anything\nn. the second half of an inning; while the home team is at bat\nn. a cargo ship,"n. 底部\na. 底部的\nvt. 给...装底, 查明真相\nvi. 到达底部, 建立基础",,4,1,zk gk cet4 ky,1555,1511,s:bottoms/i:bottoming/p:bottomed/3:bottoms/d:bottomed
bounce,bauns,n. the quality of a substance that is able to rebound\nn. rebounding from an impact (or series of impacts)\nv. spring back; spring away from an impact\nv. hit something so that it bounces,"n. 跳, 跳跃, 弹力, 撞击\nvi. 反跳, 弹跳\nvt. 使跳回, 撞击\n[计] 打回",,2,,gk cet4 cet6 ky toefl ielts,4778,3792,p:bounced/i:bouncing/d:bounced/3:bounces/s:bounces
bound,baund,"v. form the boundary of; be contiguous to\na. confined by bonds\na. held with another element, substance or material in chemical or physical union\na. secured with a cover or binding; often used as a combining form","n. 跃, 回跳, 范围, 边界\na. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的\nvi. 跳跃, 弹起\nvt. 使跳, 限制, 形成...的疆界\nbind过去式和过去分词\n[计] 装订的",,3,1,gk cet4 cet6 ky toefl ielts,3174,8004,0:bind/1:dp/s:bounds/d:bounded/i:bounding/p:bound/3:bounds
boundary,'baundri,n. the line or plane indicating the limit or extent of something\nn. a line determining the limits of an area,"n. 边界, 分界线\n[计] 边界",,2,,gk cet4 cet6 ky toefl ielts,2050,2776,s:boundaries
bow,bәu.bau,"n. a knot with two loops and loose ends; used to tie shoelaces\nn. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments\nn. front part of a vessel or aircraft\nn. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow","n. 弓, 眼睛框\nv. 用弓拉琴, 弯成弓形\nn. 鞠躬, 屈服",,1,,gk cet4 cet6 ky toefl,4473,4098,p:bowed/s:bows/i:bowing/d:bowed/3:bows
bowl,bәul,n. a round vessel that is open at the top; used chiefly for holding food or liquids; \nn. a concave shape with an open top\nn. a dish that is round and open at the top for serving foods\nn. the quantity contained in a bowl,"n. 碗, 木球, 大酒杯\nv. 滚木球, 快而稳地行驶",,3,1,zk gk cet4 ky toefl,2707,1829,s:bowls/p:bowled/d:bowled/i:bowling/3:bowls
bowling,'bәuliŋ,n. a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them\nn. (cricket) the act of delivering a cricket ball to the batsman\nn. the playing of a game of tenpins or duckpins etc,n. 保龄球戏,,2,,gk ky ielts,7372,7944,0:bowl/1:i/i:bowling
box,bɒks,n. a (usually rectangular) container; may have a lid\nn. private area in a theater or grandstand where a small group can watch the performance\nn. the quantity contained in a box\nn. a rectangular drawing,"n. 盒子, 箱, 方框, 一巴掌\nvt. 装...入盒中, 装箱, 打耳光\nvi. 拳击\n[计] 方框",,4,1,zk gk,874,795,s:boxes/d:boxed/p:boxed/i:boxing/3:boxes
boxing,'bɒksiŋ,n. fighting with the fists,n. 拳击\n[医] 围模(牙科),,2,,gk,5109,5637,0:box/1:i/i:boxing
boy,bɒi,n. a friendly informal reference to a grown man\nn. (ethnic slur) offensive and disparaging term for Black man,"n. 男孩\n[法] 男孩, 少年, 儿子",,5,1,zk gk,462,382,s:boys
boycott,'bɒikɒt,n. a group's refusal to have commercial dealings with some organization in protest against its policies\nv. refuse to sponsor; refuse to do business with,n. 联合抵制\nvt. 联合抵制,,2,,gk cet6 ky toefl ielts gre,9191,8514,d:boycotted/p:boycotted/i:boycotting/s:boycotts/3:boycotts
brain,brein,n. that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord\nn. mental ability\nn. the brain of certain animals used as meat\nv. hit on the head,n. 脑\nvt. 打碎脑部,,4,1,zk gk cet4 ky toefl,1643,1189,s:brains/i:braining/p:brained/3:brains/d:brained
brake,breik,n. a restraint used to slow or stop a vehicle\nn. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants\nn. an area thickly overgrown usually with one kind of plant\nn. anything that slows or hinders a process,"n. 刹车, 阻碍, 丛林\nv. 刹车",,2,,gk cet4 ky ielts gre,5290,4693,s:brakes/p:braked/i:braking/d:braked/3:brakes
branch,bræntʃ,"n. a division of some larger or more complex organization\nn. a division of a stem, or secondary stem arising from the main stem of a plant\nn. a part of a forked or branching shape\nn. a stream or river connected to a larger one","n. 树枝, 支店, 支流, 分部\nvi. 分支, 出枝\nvt. 分割, 用枝状叶脉刺绣花纹装饰\n[计] 分支, 目录分支",,3,1,gk cet4 ky ielts,1178,1807,s:branches/i:branching/p:branched/3:branches/d:branched
brand,brænd,"n. a recognizable kind\nn. identification mark on skin, made by burning\nn. a piece of wood that has been burned or is burning\nv. burn with a branding iron to indicate ownership; of animals","n. 商标, 牌子, 烙印\nvt. 打烙印于",,3,1,gk cet4 cet6 ky ielts gre,3387,2570,s:brands/d:branded/i:branding/p:branded/3:brands
brave,breiv,n. a North American Indian warrior\nn. people who are brave\na. possessing or displaying courage; able to face and deal with danger or fear without flinching\ns. brightly colored and showy,"a. 勇敢的, 美好的, 华丽的\nn. 勇敢者\nvt. 勇敢地面对",,3,1,zk gk cet4 ky,3800,4854,p:braved/r:braver/t:bravest/i:braving/d:braved/3:braves/s:braves
bravery,'breivәri,n a quality of spirit that enables you to face danger or pain without showing fear\nn feeling no fear,n. 勇敢,,1,,gk,11705,12303,
bread,bred,n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked\nv. cover with bread crumbs,"n. 面包, 生计, 食物\nvt. 裹以面包屑",,3,1,zk gk,2292,2113,s:breads/i:breading/p:breaded/3:breads/d:breaded
break,breik,n. an unexpected piece of good luck\nn. the occurrence of breaking\nn. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)\nn. the opening shot that scatters the balls in billiards or pool,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变\nvt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃\nvi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停\nn. 分隔符\n[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机",,5,1,zk gk ielts,519,494,p:broke/d:broken/i:breaking/3:breaks/s:breaks
breakfast,'brekfәst,n. the first meal of the day (usually in the morning)\nv. eat an early morning meal\nv. provide breakfast for,n. 早餐,,3,1,zk gk ielts,2019,2382,s:breakfasts/p:breakfasted/i:breakfasting/d:breakfasted/3:breakfasts
breakthrough,'breikθru:,n. making an important discovery\nn. a penetration of a barrier such as an enemy's defense,"n. 突破\n[经] 突破, 新发现, 新进展",,,,gk ielts,6455,5308,s:breakthroughs
breast,brest,n. the front of the trunk from the neck to the abdomen\nn. either of two soft fleshy milk-secreting glandular organs on the chest of a woman\nn. meat carved from the breast of a fowl\nn. the part of an animal's body that corresponds to a person's chest,"n. 胸部, 乳房, 胸怀\nvt. 以胸对着, 面对",,3,1,gk cet4 cet6 ky,2793,1652,s:breasts/p:breasted/i:breasting/d:breasted/3:breasts
breath,breθ,n. the process of taking in and expelling air during breathing\nn. the air that is inhaled and exhaled in respiration\nn. a short respite\nn. a slight movement of the air,"n. 呼吸, 气息, 瞬间\n[医] 呼气, 呵气, 口气, 呼吸",,3,1,zk gk cet4 ky toefl,1768,1628,s:breaths
breathe,bri:ð,"v. draw air into, and expel out of, the lungs\nv. be alive\nv. impart as if by breathing\nv. allow the passage of air through","vi. 呼吸, 生存, 低语\nvt. 呼吸, 使喘息, 发散, 低声说",,3,1,zk gk cet4 ky toefl,2434,2264,i:breathing/p:breathed/3:breathes/d:breathed
breathless,'breθlis,a. not breathing or able to breathe except with difficulty\ns. tending to cause suspension of regular breathing\ns. appearing dead; not breathing or having no perceptible pulse,"a. 喘不过气来的, 屏气的, 气喘吁吁的, 无风的, 死的",,1,,gk toefl,8961,10896,
brewery,'bru:әri,n. a plant where beer is brewed by fermentation,"n. 啤酒厂, 酿酒厂\n[经] 酿造所",,1,,gk,5781,15159,s:breweries
brick,brik,n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material\nn. a good fellow; helpful and trustworthy,"n. 砖块, 积木\na. 用砖做的\nvt. 用砖造, 用砖砌",,2,1,gk cet4 ky toefl,2814,3315,s:bricks/d:bricked/i:bricking
bride,braid,n. a woman who has recently been married\nn. a woman participant in her own marriage ceremony,n. 新娘,,2,,gk ky,5104,4871,s:brides
bridegroom,'braidgrum,n a man who has recently been married\nn a man participant in his own marriage ceremony,n. 新郎,,,,gk cet6,16663,24066,s:bridegrooms
bridge,bridʒ,n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.\nn. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected\nn. something resembling a bridge in form or function\nn. the hard ridge that forms the upper part of the nose,"n. 桥, 舰桥, 桥梁, 桥牌\nvt. 架桥于, 跨越\n[计] 桥, 网桥, 桥接器",,4,1,zk gk ielts,1434,1687,s:bridges/d:bridged/i:bridging/p:bridged/3:bridges
brief,bri:f,n. a document stating the facts and points of law of a client's case\nn. a condensed written summary or abstract\nv. give essential information to someone\ns. of short duration or distance,"n. 摘要, 简报\na. 简短的, 短暂的\nvt. 对...作简报, 摘要, 节录",,4,1,gk cet4 ky toefl,1863,2146,d:briefed/s:briefs/i:briefing/t:briefest/r:briefer/p:briefed/3:briefs
bright,brait,a. emitting or reflecting light readily or in large amounts\ns. having striking color\ns. characterized by quickness and ease in learning\ns. having lots of light either natural or artificial,"a. 明亮的, 聪明的, 鲜明的, 欢快的\nadv. 明亮地, 欢快地",,4,1,zk gk,1526,1308,r:brighter/t:brightest
brilliant,'briljәnt,s. of surpassing excellence\ns. characterized by grandeur\ns. full of light; shining intensely,"a. 光辉的, 灿烂的, 有才气的\n[机] 亮的",,3,1,gk cet4 ky ielts,2429,3159,s:brilliants
bring,briŋ,v. take something or somebody with oneself somewhere\nv. cause to come into a particular state or condition\nv. cause to happen or to occur as a consequence\nv. go or come after and bring or take back,"vt. 带来, 产生, 促使, 提出\nvi. 生产",,5,1,zk gk ielts,195,215,d:brought/p:brought/i:bringing/3:brings
Britain,'britәn,n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom,n. 英国,,,,gk ielts,365,0,
British,'britiʃ,n. the people of Great Britain\na. of or relating to or characteristic of Great Britain or its people or culture,"a. 英国的\nn. 英国人, 英国英语",,,,gk ielts,24056,1183,
broad,brɒ:d,n. slang term for a woman\ns. not detailed or specific\ns. lacking subtlety; obvious\ns. being at a peak or culminating point,"a. 宽广的, 辽阔的, 广大的, 显著的\nadv. 宽阔地\nn. 宽阔部分",,4,1,gk cet4 ky,1462,1404,r:broader/t:broadest/s:broads
broadcast,'brɒ:dkæst,"n. message that is transmitted by radio or television\nn. a radio or television show\nv. sow over a wide area, especially by hand","n. 广播, 传播\na. 广播的\nv. 广播\nadv. 经广播, 四散地\n[计] 广播命令, 广播",,3,1,gk cet4 ky toefl,5111,3617,s:broadcasts/d:broadcast/0:broadcast/1:dp/i:broadcasting/3:broadcasts/p:broadcast
brochure,'brәuʃә,n a small book usually having a paper cover,"n. 小册子, 小册",,2,,gk ky toefl ielts gre,4759,6585,s:brochures
broken,'brәukәn,"a. physically and forcibly separated into pieces or cracked or split\na. not continuous in space, time, or sequence or varying abruptly\ns. subdued or brought low in condition or status\na. (especially of promises or contracts) having been violated or disregarded","a. 坏掉的, 打破的, 断掉的\nbreak的过去分词",,1,1,gk cet4,2747,2694,0:break/1:d/d:broken
broom,bru:m,n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle\nn. any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers\nv. finish with a broom,"n. 扫帚, 金雀花\nvt. 扫除",,1,,gk cet4 cet6 ky,9809,9418,s:brooms
brother,'brʌðә,n. a male with the same parents as someone else\nn. a male person who is a fellow member (of a fraternity or religion or other group)\nn. used as a term of address for those male persons engaged in the same movement\nn. (Roman Catholic Church) a title given to a monk and used as form of address,n. 兄弟,,5,1,zk gk,827,614,s:brothers
brotherhood,'brʌðәhud,n. the kinship relation between a male offspring and the siblings\nn. people engaged in a particular occupation\nn. the feeling that men should treat one another like brothers,"n. 手足情谊, 兄弟关系",,,,gk,11836,13702,s:brotherhoods
brown,braun,"n. an orange of low brightness and saturation\nn. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)\nn. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)\nv. fry in a pan until it changes color",n. 褐色\na. 褐色的\nv. (使)变褐色,,5,1,zk gk toefl,2018,1769,s:browns/p:browned/r:browner/d:browned/i:browning/3:browns
brunch,brʌntʃ,n. combination breakfast and lunch; usually served in late morning\nv. eat a meal in the late morning,n. 早午餐,,,,gk,36288,13712,s:brunches
brush,brʌʃ,n. a dense growth of bushes\nn. an implement that has hairs or bristles firmly set into a handle\nn. momentary contact\nn. conducts current between rotating and stationary parts of a generator or motor,"n. 刷子, 毛笔, 争吵\nvt. 刷\nvi. 擦过, 掠过\n[计] 电刷",,3,1,zk gk,3418,3223,p:brushed/i:brushing/s:brushes/d:brushed/3:brushes
bucket,'bʌkit,n. a roughly cylindrical vessel that is open at the top\nn. the quantity contained in a bucket\nv. put into a bucket\nv. carry in a bucket,n. 桶\n[计] 存储桶; 桶,,2,,gk cet4 cet6 ky ielts gre,4494,4812,s:buckets/i:bucketing/p:bucketed/3:buckets/d:bucketed
